BANANA REPUBLIC;Expenses|Clothes|BananaRepublic
KHANSAMA;Expenses|Dining|Indian|Khansama
TOP-UP TO PAYLAH!;Expenses|ATM
POS NISARGA;Expenses|Groceries|Beside-Murugan
PURE TRIM;Expenses|Beauty|Haircut|PureTrim
SINGAPOREAIR;OneTimeExpenses|Trips|FillDetails
HOTELS.COM;OneTimeExpenses|Trips|FillDetails
CAPITOL OPTICAL;Expenses|Medical|Specs|Capitol
NWL ;Expenses|ATM
CUPS N CAN;Expenses|Dining|Italian|Cups&Canvas
0455880-WE;Expenses|Misc
0478731CSQ;Expenses|Dining|Misc
7-ELEVEN;Expenses|Groceries|7-11
ANANDA BHA;Expenses|Dining|SouthIndian|AnandBhavan
ANDERSEN'S OF DENMARK SINGAPORE SG;Expenses|Dining|Icecream|Andersons
ANJAPPAR;Expenses|Dining|SouthIndian|Anjappar
ATM Withdrawal Fee;Expenses|Misc
BAJA FRESH;Expenses|Dining|Mexican|BajaFresh
BEST DENKI;Expenses|Electronics|BEST
Bill Payment CCC -376215425941002;Transfer|Liabilities|KrisFlyer
Bill Payment CCC -4119110090937209;Transfer|Liabilities|DbsAltitude
BILL DBSC-4119110090937209;Transfer|Liabilities|DbsAltitude
Bill Payment SPS -8927935158;Expenses|Utilities
BOBBY'S TAPROOM.GRILL.R;Expenses|Dining|Drinks&Grill|BobbysTaproom
UNIQLO;Expenses|Clothes|Uniqlo
BOSSINI;Expenses|Clothes|Bossini
CAFE SALIVATION;Expenses|Dining|IndoChinese|CafeSalivation
CAFFE B;Expenses|Dining|Coffee|CaffeB
THE COFFEE BEAN;Expenses|Dining|Coffee|CB&TL
CARD ANNUAL FEE;Expenses|Misc
Cash Withdrawal;Expenses|ATM
CATHAY CINELEISURE;Expenses|Movies
CE LA VI;Expenses|Dining|Drinks&Grill|CeLaVi
CEDELE;Expenses|Dining|Bakery|Cedele
CELIO;Expenses|Clothes|Celio
CENTRAL LA;Expenses|Beauty|La Viva
CHARLES & KEITH;Expenses|Accessories|C&K
CHARLES &;Expenses|Accessories|C&K
CITY BLUE;Expenses|Beauty|CityBlue
COCOA & CO;Expenses|Dining|Coffee|Cocoa&Co
COCOA COLONY;Expenses|Dining|Bakery|CocoaColony
COMFORT TR;Expenses|Taxi|ComfortTR
COSTA COFFEE;Expenses|Dining|Coffee|Costa
COTTON ON;Expenses|Clothes|CottonOn
DAISO;Expenses|Groceries|Household|Daiso
JAPAN HOME;Expenses|Groceries|Household|JapanHome
DPAYAXS STATION;OneTimeExpenses|Flights
E2 LINGERI;Expenses|Clothes|Misc
FAIRPRICE;Expenses|Groceries|Fairprice
FEDEX;Expenses|Misc
FIFTH SEASON SINGAPORE;Expenses|Dining|IndoChinese|FifthSeason
